OI,Chng in OI,Volume,IV,LTP,Net Chng,Bid Qty,Bid Price,Ask Price,Ask Qty,Strike Price,Bid Qty,Bid Price,Ask Price,Ask Qty,Net Chng,LTP,IV,Volume,Chng in OI,OI
-,-,-,-,-,-,"7,425","2,381.90","2,794.65","7,425",6100.00,75,11.25,12.00,750,-6.75,11.30,159.50,"25,200","260,775","715,500"
-,-,-,-,-,-,"7,425","2,313.10","2,756.75","7,425",6150.00,"3,375",3.40,-,-,-,-,-,-,-,-
-,-,-,-,-,-,"7,425","2,188.30","2,687.80","7,425",6200.00,75,13.55,15.15,"6,075",-10.65,15.15,153.99,"6,294","68,325","101,100"
-,-,-,-,-,-,"7,425","2,228.25","2,640.35","7,425",6250.00,"4,725",5.30,-,-,-,-,-,-,-,-
-,-,-,-,-,-,"7,425","2,099.15","2,581.35","7,425",6300.00,75,18.00,21.30,300,9.40,21.00,128.33,926,"21,825","21,825"
-,-,-,-,-,-,"7,425","2,038.00","2,533.20","7,425",6350.00,"3,000",7.90,-,-,-,-,-,-,-,-
-,-,-,-,-,-,"7,425","2,009.00","2,473.45","7,425",6400.00,150,20.75,22.40,525,4.35,21.00,149.96,"1,706","24,000","24,000"
-,-,-,-,-,-,"7,425","1,948.95","2,444.10","7,425",6450.00,"3,150",11.75,-,-,-,-,-,-,-,-
-,-,-,-,-,-,"7,425","1,926.05","2,368.65","7,425",6500.00,975,24.00,24.90,"1,500",-13.80,24.00,148.24,"26,535","179,475","374,700"
-,-,-,-,-,-,"7,425","1,856.20","2,326.55","7,425",6550.00,75,17.00,-,-,-,-,-,-,-,-
75,75,3,-,"2,050.00",997.35,"7,425","1,835.35","2,263.60","7,425",6600.00,75,28.05,28.80,75,-23.00,28.35,147.08,"2,998","63,750","66,600"
-,-,-,-,-,-,"7,425","1,789.05","2,220.40","7,425",6650.00,"1,500",15.10,-,-,-,-,-,-,-,-
-,-,-,-,-,-,"7,425","1,745.80","2,160.05","7,425",6700.00,75,31.00,33.00,"1,350",-23.70,33.00,145.81,"2,500","35,625","35,775"
-,-,-,-,-,-,"7,425","1,700.45","2,120.80","7,425",6750.00,75,36.05,38.00,75,-26.45,38.00,149.17,922,"7,200","14,175"
-,-,-,-,-,-,"7,425","1,652.05","2,057.30","7,425",6800.00,150,37.50,39.50,75,-22.25,39.00,145.69,"11,751","44,475","74,550"
